"date","close","volume","open","high","low"
"2016/07/29","218.3700","3093514.0000","217.7200","218.7900","217.3800"
"2016/07/28","218.0400","1844320.0000","217.5200","218.3700","217.0000"
"2016/07/27","217.7800","4741766.0000","218.4200","218.5100","216.8800"
"2016/07/26","218.0000","3090945.0000","217.8200","218.4200","217.0010"
"2016/07/25","217.9100","1702726.0000","218.2400","218.3100","217.2200"
"2016/07/22","218.4700","4733869.0000","217.6500","218.5600","217.3500"
"2016/07/21","217.5200","1791239.0000","218.1900","218.4700","216.9900"
"2016/07/20","218.3100","1836994.0000","217.9900","218.6000","217.4700"
"2016/07/19","217.3900","1885536.0000","217.1800","217.4600","216.8800"
"2016/07/18","217.6300","4112751.0000","217.1700","217.8600","216.9000"
"2016/07/15","217.0300","3686745.0000","218.0200","218.0500","216.5400"
"2016/07/14","217.3500","5336221.0000","217.6300","217.9100","216.9000"
"2016/07/13","216.1600","3845237.0000","216.6700","216.6950","215.5900"
"2016/07/12","216.1800","4713756.0000","215.7700","216.5300","215.4900"
"2016/07/11","214.6700","3288068.0000","214.4200","215.2800","214.1795"
"2016/07/08","213.8600","3206859.0000","212.2400","214.1500","212.0000"
"2016/07/07","210.6600","3485783.0000","211.0700","211.8400","209.8400"
"2016/07/06","210.8400","6271003.0000","209.0200","210.9900","208.2500"
"2016/07/05","209.6400","6212294.0000","210.1400","210.2700","208.9000"
"2016/07/01","211.1300","4743663.0000","210.5500","211.6910","210.5400"
"2016/06/30","210.5000","6025112.0000","208.4100","210.7200","207.7400"
"2016/06/29","207.8000","6639645.0000","206.0100","208.1000","205.8900"
"2016/06/28","204.3800","7079321.0000","202.6400","204.3800","202.2650"
"2016/06/27","200.6300","8048050.0000","202.7500","202.7700","199.7900"
"2016/06/24","204.4900","15206930.0000","204.8300","208.0600","203.8800"
"2016/06/23","212.0000","2707543.0000","210.9900","212.0200","210.4600"
"2016/06/22","209.2700","3103625.0000","209.8200","210.6900","209.1100"
"2016/06/21","209.6200","2706085.0000","209.4700","210.0700","208.9600"
"2016/06/20","210.0400","4395432.0000","210.9900","211.7900","209.9100"
"2016/06/17","208.6600","3653497.0000","209.3200","209.3800","207.9000"
"2016/06/16","209.4500","3748941.0000","207.8100","209.6600","206.6500"
"2016/06/15","208.7700","3853165.0000","209.6300","210.4400","208.6000"
"2016/06/14","209.1400","4763405.0000","209.1200","209.8299","208.0000"
"2016/06/13","209.5200","3657550.0000","210.4800","211.4800","209.4400"
"2016/06/10","211.1900","3254493.0000","211.5800","211.9700","210.5400"
"2016/06/09","213.2000","2153353.0000","212.6200","213.3500","212.3200"
"2016/06/08","213.4500","1625106.0000","212.9400","213.6400","212.8100"
"2016/06/07","212.7700","2590476.0000","212.6600","213.4600","212.6200"
"2016/06/06","212.5200","2977011.0000","211.8200","212.8800","211.6200"
"2016/06/03","211.3500","3327786.0000","211.3400","211.8000","209.9800"
"2016/06/02","212.0600","3645058.0000","210.9100","212.0600","210.3300"
"2016/06/01","211.3700","2874110.0000","210.2500","211.5800","209.9900"
"2016/05/31","210.9700","3585216.0000","211.6600","211.8000","210.2700"
"2016/05/27","211.3000","2488866.0000","210.6100","211.3100","210.5600"
"2016/05/26","210.4300","2021294.0000","210.5600","210.8100","210.0500"
"2016/05/25","210.3500","2453132.0000","209.7500","210.8500","209.7100"
"2016/05/24","208.9400","2613546.0000","207.2500","209.3200","207.2000"
"2016/05/23","206.2600","2118140.0000","206.5500","206.9000","206.0400"
"2016/05/20","206.5400","2658676.0000","205.9900","207.1600","205.9000"
"2016/05/19","205.2900","3839188.0000","205.0800","205.5800","203.8000"
"2016/05/18","206.0200","4255107.0000","205.4800","207.3500","204.6900"
"2016/05/17","206.0000","4337281.0000","207.5200","207.8700","205.2864"
"2016/05/16","207.8300","2635805.0000","206.0000","208.4100","205.9500"
"2016/05/13","205.7500","4859597.0000","207.2500","207.9100","205.4400"
"2016/05/12","207.6700","3348027.0000","208.3600","208.5500","206.4400"
"2016/05/11","207.5700","3111162.0000","208.9800","209.4000","207.5700"
